id,日本語名,英語名,段,体格,体格_en,種族,種族_en,理,理_en,前の段,次の段,系譜,状態,備考
ancient,古代兵,Ancient Guardian,2,大,Large,無生物,Construct,その他,Other,golem,colossus,golem,次段（絵と名のみ）,
colossus,古代巨神,Ancient Colossus,3,大,Large,無生物,Construct,その他,Other,ancient,,golem,次段（絵と名のみ）,
ancientdragon,古代竜,Ancient Dragon,3,大,Large,竜,Dragon,生命,Life,dragon,,whelp,次段（絵と名のみ）,
warfiend,戦鬼,Warfiend,3,小,Small,人,Human,秩序,Order,berserker,,warrior,次段（絵と名のみ）,
shadowblade,闇の刃,Shadowblade,3,小,Small,人,Human,秩序,Order,assassin,,rogue,次段（絵と名のみ）,
skald,武勲詩人,Skald,2,小,Small,人,Human,秩序,Order,bard,bragi,bard,次段（絵と名のみ）,
bragi,ブラギ,Bragi,3,小,Small,神獣,Divine,秩序,Order,skald,,bard,次段（絵と名のみ）,出自は人、系統は神獣系
necromancer,死霊術師,Necromancer,2,小,Small,邪,Profane,秩序,Order,shaman,lich,shaman,次段（絵と名のみ）,系統は邪悪系だが、理は秩序 Order
lich,リッチ,Lich,3,小,Small,邪,Profane,秩序,Order,necromancer,,shaman,次段（絵と名のみ）,系統は邪悪系だが、理は秩序 Order
phoenix,フェニックス,Phoenix,2,大,Large,神獣,Divine,精神,Spirit,salamander,,salamander,次段（絵と名のみ）,出自は精霊、系統は神獣系
jotunn,ヨトゥン,Jötunn,2,大,Large,神獣,Divine,精神,Spirit,frost,,frost,次段（絵と名のみ）,出自は精霊、系統は神獣系
odin,オーディン,Odin,2,中,Medium,神獣,Divine,生命,Life,valkyrie,,valkyrie,次段（絵と名のみ）,出自は神獣
spearmaster,槍術士,Spearmaster,2,小,Small,人,Human,秩序,Order,spearman,dragonslayer,spearman,構想（未実装）,
dragonslayer,竜殺し,Dragonslayer,3,小,Small,人,Human,秩序,Order,spearmaster,,spearman,構想（未実装）,
sylph,シルフ,Sylph,1,小,Small,精霊,Spirit,精神,Spirit,,aiolos,sylph,構想（未実装）,
aiolos,アイオロス,Aiolos,2,大,Large,神獣,Divine,精神,Spirit,sylph,,sylph,構想（未実装）,
undine,ウンディーネ,Undine,1,小,Small,精霊,Spirit,精神,Spirit,,leviathan,undine,構想（未実装）,
leviathan,リヴァイアサン,Leviathan,2,大,Large,神獣,Divine,精神,Spirit,undine,,undine,構想（未実装）,
impundulu,インプンドゥル,Impundulu,1,小,Small,精霊,Spirit,精神,Spirit,,thor,impundulu,構想（未実装）,
thor,トール,Thor,2,大,Large,神獣,Divine,精神,Spirit,impundulu,,impundulu,構想（未実装）,
dryad,ドライアド,Dryad,1,小,Small,精霊,Spirit,精神,Spirit,,ent,dryad,構想（未実装）,
ent,エント,Ent,2,大,Large,神獣,Divine,精神,Spirit,dryad,,dryad,構想（未実装）,
